timestamp	topic	rep	status	cost_usd	num_turns	duration_ms
2026-07-21T07:52:25-04:00	placefields	01	ok	7.0414163	127	1908251
2026-07-21T08:33:06-04:00	placefields	02	ok	9.675964199999996	140	2140471
2026-07-21T08:40:11-04:00	placefields	03	ok	1.2821884	31	424410
2026-07-21T08:53:24-04:00	orientation	01	ok	3.0645397	77	791217
2026-07-21T09:13:15-04:00	orientation	02	ok	2.917105600000001	75	1190233
2026-07-21T09:38:20-04:00	placefields	03	ok	2.8604177000000006	56	785381
2026-07-21T09:43:18-04:00	orientation	03	ok	1.2923715999999998	31	295982
2026-07-21T09:58:23-04:00	auditory	01	ok	2.9448874	64	898840
2026-07-21T10:13:48-04:00	auditory	02	ok	3.3522538999999996	80	923888
2026-07-21T10:23:39-04:00	auditory	03	ok	2.2558615	54	588938
2026-07-21T10:40:02-04:00	reach	01	ok	3.8048592000000014	94	868192
2026-07-21T11:02:19-04:00	reach	02	ok	5.976659400000002	116	1334173
2026-07-21T11:18:30-04:00	reach	03	ok	3.3593780999999994	75	968100
2026-07-21T14:50:49-04:00	theta	01	incomplete	NA	NA	NA
2026-07-21T15:12:32-04:00	theta	02	ok	3.6942286	70	1296030
2026-07-21T15:33:14-04:00	theta	03	ok	3.2000436000000008	66	1240739
