direction,unit,peak_rate,peak_pos,mean_rate,sparsity,si,si_thresh,si_p,width,stability,is_place,is_place_strict
rightward,1,0.4263525515826002,0.62,0.13521075976180877,0.5423594557888941,0.7220850423866062,1.101499787710047,0.258,0.15999999999999998,-0.034814263610859465,False,False
rightward,6,0.5059880798321175,1.42,0.22399348500280336,0.6644694380370602,0.4795395041859911,0.5907206750248808,0.09,0.19999999999999996,-0.03554461052261847,False,False
rightward,7,12.07227652969863,0.38,5.769535104657742,0.7706395172484215,0.17781265662736626,0.04350439303728152,0.0,0.5999999999999999,0.8849823242917163,True,True
rightward,9,9.53745170034072,1.54,1.6437856189602678,0.2928801963161921,1.061072316011335,0.28745994483502313,0.0,0.19999999999999996,0.9399129788069152,True,True
rightward,11,8.21122831064487,0.22,1.9030038166784604,0.43419854506879635,0.6787762412971294,0.10756625966593245,0.0,0.23999999999999996,0.9407813564028342,True,True
rightward,12,18.65393784897265,0.5800000000000001,9.087070475928808,0.7001697186714357,0.38698611181547177,0.06043935480594455,0.0,0.7999999999999998,0.9581214822204197,True,True
rightward,13,2.017666058797823,0.06,0.5178885008576948,0.49861003629026796,0.578012280436335,0.24360666825597038,0.0,0.15999999999999998,0.8778605765418478,True,True
rightward,16,6.977022137501002,0.1,1.3713627558394468,0.32530152991706185,0.9483843037114905,0.2180812738234318,0.0,0.27999999999999997,0.977712640493265,True,True
rightward,21,1.344310669636058,0.86,0.7200429687875397,0.7137696711944153,0.2628489332804305,0.22572187940967756,0.0,0.11999999999999998,0.6652738486646623,True,True
rightward,23,27.15672622083348,1.3800000000000001,7.339607120034574,0.3619206509985924,1.5720554639965096,0.2338986398540534,0.0,0.4799999999999999,0.9750050229106312,True,True
rightward,27,15.50292148999585,0.33999999999999997,4.235335861793294,0.39897954856663176,0.7741834327370578,0.11031047985835372,0.0,0.43999999999999995,0.9501224038567126,True,True
rightward,29,20.724484109443512,0.33999999999999997,12.94740217320745,0.8726111044758674,0.10085603050672952,0.030740514765128655,0.0,0.4799999999999999,0.8886997643657254,True,True
rightward,33,13.7717612562519,0.9,4.651564749743866,0.5559005515948066,0.7174975631688507,0.12628439794699794,0.0,0.5199999999999999,0.8945757330788736,True,True
rightward,39,23.90107916735928,0.26,4.56301977471756,0.33584116887410703,0.979493448556711,0.16113437071125702,0.0,0.19999999999999996,0.9773014749085595,True,True
rightward,41,1.4434383441601786,1.1400000000000001,0.7969383393207314,0.8293485544179249,0.15239275081143372,0.15104486657930832,0.01,0.35999999999999993,0.39505123863335895,True,True
rightward,50,5.131423206999302,0.38,1.0809814947746295,0.3861797699934465,0.9492621350226773,0.48757346317260225,0.0,0.19999999999999996,0.7401269006576087,True,True
rightward,51,16.248045213726456,0.22,3.81509366310602,0.32094975042105006,1.00947911265425,0.18713915799542005,0.0,0.35999999999999993,0.9832409856306559,True,True
rightward,52,11.575762474804973,0.86,3.527128361865015,0.4678659165855098,0.7889730012361226,0.14795613753913786,0.0,0.43999999999999995,0.9570424430316816,True,True
