unit,hd_mvl,path,include
t2c1,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c5,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c1,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c5,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c1,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c5,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c1,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c5,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c1,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c5,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c1,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c5,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c1,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c5,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c1,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c5,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c1,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c5,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c1,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c5,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c1,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c5,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c1,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c5,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c1,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c5,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c1,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c5,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c1,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c5,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c1,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c5,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c1,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c5,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c1,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c5,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c1,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c5,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c1,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c5,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c1,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c5,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c1,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c5,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c1,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c5,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c1,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c5,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c1,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c5,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c1,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
t2c5,,sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,True
