timestamp	topic	rep	status	cost_usd	num_turns	duration_ms
2026-04-27T19:53:31-04:00	placefields	01	ok	1.9626192499999993	28	433985
2026-04-27T20:08:37-04:00	placefields	02	ok	3.8386544999999996	51	803152
2026-04-27T20:15:54-04:00	placefields	03	ok	2.20940625	34	433774
2026-04-27T20:27:24-04:00	orientation	01	ok	2.4005652499999997	40	686164
2026-04-27T20:35:38-04:00	orientation	02	ok	2.43461775	40	490273
2026-04-27T20:44:42-04:00	orientation	03	ok	1.8838202499999999	34	541440
2026-04-27T20:59:42-04:00	auditory	01	ok	2.18271125	33	892044
2026-04-27T21:03:50-04:00	auditory	02	ok	1.25707025	24	246498
2026-04-27T21:10:12-04:00	auditory	03	ok	1.7555649999999998	32	379749
2026-04-27T21:32:11-04:00	reach	01	ok	4.423140249999999	71	1314601
2026-04-27T21:41:05-04:00	reach	02	ok	2.2305355000000002	34	529134
2026-04-27T21:47:44-04:00	reach	03	ok	1.4688822499999998	26	394653
2026-04-27T21:57:26-04:00	theta	01	ok	2.6600712500000006	39	578461
2026-04-27T22:06:35-04:00	theta	02	ok	2.8678652500000013	43	544218
2026-04-27T22:21:41-04:00	theta	03	ok	4.243742500000001	64	904143
